,Geschlecht,Ihr Alter in Jahren:,Wie häufig machen Sie in der Woche Sport?,Welche Sportarten machen Sie? (mehrere Antworten möglich),"Haben Sie schonmal Sport-Apps genutzt? (Z.B. Apple Sports, Adidas Running App, Komoot, Nike Training Club, Freeletics, Urban Sports Club, Stava, etc.)  ",Wie oft benutzen Sie eine Sport-App?  ,Wofür benutzen Sie Sport-Apps? (mehrere Antworten möglich)  ,"Glauben Sie, dass Sie Ihre Sportlichen Ziele durch Benutzung einer Sport-App effizienter erreichen können? ","Motiviert es Sie, wenn Sie Ihre Leistungen mit denen Ihrer Freunde vergleichen?  ",Amotivation,External Regulation,Introjected Regulation,Identified Regulation,Integrated Regulation,Intrinsic Motivation
0,Weiblich,22,5-6 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Schwimmen",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um mir Ziele zu setzen",Ja,Nein,1.25,2.75,4.0,3.5,4.25,4.25
1,Weiblich,23,3-4 mal die Woche,"Fitness-Kurse, Tanzen",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um Kurse zu Buchen, Um einen Sport-Zeitplan zu erstellen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Ja,3.0,3.0,4.0,3.75,3.25,3.5
2,Weiblich,25,3-4 mal die Woche,"Joggen, Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Ja,Nein,1.25,2.0,4.5,3.0,4.25,4.25
3,Weiblich,18,3-4 mal die Woche,"Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um einen Sport-Zeitplan zu erstellen, Um mir Ziele zu setzen",Ja,Nein,1.5,2.25,3.25,3.75,5.0,4.0
4,Weiblich,18,1-2 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Fahrrad fahren ",Ja,Nie,Zum Tracken meiner Leistungen,Ja,Nein,2.25,2.0,3.0,3.0,3.75,2.5
5,Weiblich,34,1-2 mal die Woche,Yoga,Ja,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Nein,Nein,1.5,1.75,3.0,2.5,2.25,1.75
7,Weiblich,85,Jeden Tag,Fahrradfahren,Nein,Nie,Um mir Ziele zu setzen,Nein,Nein,2.0,1.5,3.0,1.5,2.5,1.5
8,Weiblich,17,3-4 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um motivierter zu sein beim Sport",Nein,Nein,2.5,3.5,4.5,4.75,5.0,4.75
9,Männlich,26,3-4 mal die Woche,Kraftsport,Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um motivierter zu sein beim Sport",Ja,Nein,2.75,2.75,3.75,3.25,3.75,3.75
10,Weiblich,20,3-4 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um motivierter zu sein beim Sport",Ja,Ja,2.0,2.5,3.0,2.75,3.0,3.0
11,Weiblich,27,3-4 mal die Woche,"Kraftsport, Fitness-Kurse",Nein,Nie,Zum Tracken meiner Leistungen,Ja,Ja,1.25,1.25,2.25,1.75,1.5,1.5
12,Weiblich,28,3-4 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Fitness-Kurse",Ja,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Nein,Nein,1.25,2.25,4.25,2.0,4.5,2.75
13,Männlich,23,3-4 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Nein,Ja,2.25,3.0,3.75,4.25,4.75,4.5
14,Weiblich,36,3-4 mal die Woche,"Joggen, Kraftsport, Tanzen",Ja,Bei jedem Training,"Zum Tracken meiner Leistungen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Ja,1.25,1.5,3.75,3.25,4.25,4.5
15,Weiblich,23,1-2 mal die Woche,"Joggen, Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Nein,Nie,Benutze keine,Nein,Nein,1.75,1.5,2.5,1.75,3.75,4.75
16,Weiblich,23,3-4 mal die Woche,"Fitness-Kurse, Tanzen",Ja,Bei wenigen Trainings,"Um Kurse zu Buchen, Um mir Ziele zu setzen",Ja,Ja,2.25,2.25,3.75,3.5,3.75,4.0
17,Männlich,23,3-4 mal die Woche,"Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Klettern",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um motivierter zu sein beim Sport",Ja,Nein,2.25,2.75,4.25,3.75,3.5,4.25
18,Weiblich,23,1-2 mal die Woche,Kraftsport,Ja,Bei dem Großteil meiner Trainings,Zum Tracken meiner Leistungen,Nein,Nein,1.25,1.25,4.0,2.5,3.5,4.25
19,Männlich,25,1-2 mal die Woche,"Joggen, Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um mir Ziele zu setzen",Ja,Ja,1.25,3.0,4.25,3.25,4.25,5.0
20,Weiblich,24,3-4 mal die Woche,Kraftsport,Ja,Bei jedem Training,Zum Tracken meiner Leistungen,Nein,Nein,1.75,1.5,3.25,3.5,4.25,4.5
21,Weiblich,22,5-6 mal die Woche,"Joggen, Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Fitness-Kurse",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um Kurse zu Buchen, Um motivierter zu sein beim Sport",Ja,Ja,1.75,2.25,4.25,3.5,4.75,4.25
22,Weiblich,17,1-2 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Tanzen",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um einen Sport-Zeitplan zu erstellen",Ja,Nein,1.75,1.75,3.25,1.75,3.25,3.5
23,Weiblich,23,1-2 mal die Woche,"Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,Nie,Benutze ich nicht ,Ja,Nein,1.75,2.25,4.0,2.75,3.75,4.25
24,Weiblich,22,1-2 mal die Woche,Akrobatik ,Ja,Nie,"Um Kurse zu Buchen, Um motivierter zu sein beim Sport",Ja,Ja,1.25,2.0,2.25,2.75,4.0,5.0
25,Weiblich,24,1-2 mal die Woche,"Joggen, Tanzen",Ja,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Ja,2.25,3.5,4.75,4.25,4.75,5.0
26,Männlich,23,1-2 mal die Woche,Rudern,Nein,Nie,"Option für Personen, die keine App nutzen fehlt. ",Ja,Ja,2.25,2.0,4.0,3.5,3.25,3.75
27,Weiblich,17,5-6 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Tanzen",Ja,Nie,Zum Tracken meiner Leistungen,Nein,Nein,1.75,2.0,2.75,2.5,3.75,3.25
28,Weiblich,22,1-2 mal die Woche,Kraftsport,Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um einen Sport-Zeitplan zu erstellen",Ja,Nein,1.75,2.75,1.5,1.5,2.0,1.5
29,Weiblich,18,3-4 mal die Woche,"Joggen, Kraftsport, Fitness-Kurse, Tanzen",Ja,Bei jedem Training,"Zum Tracken meiner Leistungen, Um mir Ziele zu setzen",Ja,Ja,2.0,2.0,4.0,3.5,4.0,3.25
30,Männlich,30,3-4 mal die Woche,"Joggen, Kraftsport, Fahrrad",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Joggen km Erfassen",Ja,Ja,2.0,1.0,3.5,3.5,4.0,3.25
31,Männlich,24,3-4 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um Kurse zu Buchen",Ja,Ja,2.0,2.0,4.0,4.25,4.75,3.75
32,Männlich,23,3-4 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Ja,Ja,2.75,3.0,3.5,3.75,4.5,3.5
33,Weiblich,25,1-2 mal die Woche,Tanzen,Ja,Nie,"Um das Training meiner Freunde zu verfolgen, Um motivierter zu sein beim Sport",Nein,Nein,1.75,1.0,3.0,2.5,4.25,3.75
34,Männlich,35,5-6 mal die Woche,"Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um motivierter zu sein beim Sport",Ja,Ja,2.0,2.0,4.0,2.75,4.25,3.5
35,Männlich,23,3-4 mal die Woche,"Joggen, Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Tanzen, Bouldern",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um einen Sport-Zeitplan zu erstellen",Ja,Ja,1.75,2.25,4.5,3.75,4.5,5.0
36,Weiblich,23,3-4 mal die Woche,"Kraftsport, Tanzen",Nein,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um Kurse zu Buchen, Um motivierter zu sein beim Sport",Ja,Ja,2.25,2.25,4.75,3.5,4.75,3.5
37,Weiblich,32,1-2 mal die Woche,Joggen,Nein,Nie,"Um Kurse zu Buchen, ",Nein,Nein,2.0,1.5,3.5,3.0,3.5,2.0
38,Weiblich,23,1-2 mal die Woche,Fitness-Kurse,Ja,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Ja,Nein,1.5,1.25,4.5,2.5,2.75,1.5
39,Weiblich,23,3-4 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Fitness-Kurse",Ja,Bei wenigen Trainings,Um Kurse zu Buchen,Nein,Nein,1.5,3.0,4.25,3.5,4.75,4.75
40,Männlich,25,3-4 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Nein,Nie,Nein,Nein,Nein,1.75,1.5,2.75,2.75,3.75,4.0
41,Weiblich,20,3-4 mal die Woche,"Kraftsport, Fitness-Kurse, Tanzen",Ja,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Nein,Nein,1.75,1.0,4.25,2.75,4.25,3.75
42,Männlich,27,1-2 mal die Woche,"Joggen, Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Schwimmen",Ja,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Ja,Nein,1.5,1.5,3.75,2.5,3.75,3.25
43,Männlich,24,1-2 mal die Woche,"Kraftsport, Fitness-Kurse",Ja,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen",Ja,Nein,2.0,1.75,3.75,3.0,3.0,3.75
44,Weiblich,23,1-2 mal die Woche,"Joggen, Yoga",Ja,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um einen Sport-Zeitplan zu erstellen",Ja,Nein,1.75,1.0,2.75,2.5,2.5,2.25
45,Männlich,30,3-4 mal die Woche,Kraftsport,Ja,Bei jedem Training,"Zum Tracken meiner Leistungen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Ja,2.0,1.25,4.25,3.0,3.5,2.75
47,Männlich,27,3-4 mal die Woche,"Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,Bei dem Großteil meiner Trainings,Zum Tracken meiner Leistungen,Ja,Ja,3.0,2.0,4.75,3.0,4.0,4.25
48,Weiblich,22,3-4 mal die Woche,"Tanzen, Aerial Hoop",Nein,Nie,Um Kurse zu Buchen,Nein,Ja,1.75,2.0,3.75,4.0,4.0,5.0
49,Männlich,23,3-4 mal die Woche,"Joggen, Kraftsport, Kampfsport, Selbstverteidigung",Ja,Bei dem Großteil meiner Trainings,Um motivierter zu sein beim Sport,Ja,Nein,1.5,1.0,3.75,3.25,3.25,4.5
50,Männlich,59,3-4 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Schwimmen, Fitness-Kurse",Ja,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Ja,Nein,2.75,1.75,3.0,2.75,3.5,4.0
51,Weiblich,23,1-2 mal die Woche,"Fitness-Kurse, Tanzen",Nein,Bei wenigen Trainings,Um Kurse zu Buchen,Nein,Nein,1.5,1.5,3.0,2.5,3.0,3.0
53,Männlich,23,5-6 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Klettern",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um motivierter zu sein beim Sport",Ja,Ja,2.5,3.5,4.5,4.25,4.75,5.0
54,Weiblich,23,3-4 mal die Woche,"Joggen, Fitness-Kurse, Tanzen",Ja,Bei wenigen Trainings,Workouts,Nein,Nein,1.75,1.0,2.0,3.5,4.25,3.5
55,Männlich,23,3-4 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Klettern",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um Kurse zu Buchen",Ja,Nein,1.75,1.75,4.0,3.5,3.0,4.0
56,Weiblich,23,1-2 mal die Woche,"Joggen, Tennis",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um motivierter zu sein beim Sport",Ja,Nein,1.5,1.75,3.25,2.75,4.25,3.75
57,Weiblich,22,1-2 mal die Woche,"Kraftsport, Fitness-Kurse, Tanzen",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um Kurse zu Buchen",Nein,Ja,1.75,1.25,3.75,2.25,1.75,1.75
